SourceFile,GPSLatitude,GPSLongitude
IMG_9273.HEIC,40.4302305555556,-3.68296111111111
IMG_9274.HEIC,40.4301333333333,-3.68125833333333
IMG_9275.HEIC,40.4301333333333,-3.68125833333333
IMG_9276.HEIC,40.430175,-3.68062222222222
IMG_9277.HEIC,40.4299861111111,-3.68011666666667
IMG_9278.HEIC,40.4300777777778,-3.67928055555556
IMG_9279.HEIC,40.4300472222222,-3.67858055555556
IMG_9280.HEIC,40.4299666666667,-3.67744166666667
IMG_9281.HEIC,40.4299388888889,-3.67695277777778
IMG_9282.HEIC,40.4298833333333,-3.67580277777778
IMG_9283.HEIC,40.4298861111111,-3.67514444444444
IMG_9284.HEIC,40.429825,-3.67408333333333
IMG_9285.HEIC,40.4298083333333,-3.67374722222222
IMG_9286.HEIC,40.4297722222222,-3.67347777777778
IMG_9288.HEIC,40.4245527777778,-3.670525
IMG_9289.HEIC,40.4245833333333,-3.67076944444444
IMG_9290.HEIC,40.4246166666667,-3.67194722222222
IMG_9291.HEIC,40.4247277777778,-3.67366111111111
IMG_9292.HEIC,40.4247361111111,-3.67389722222222
IMG_9293.HEIC,40.4247666666667,-3.67454722222222
IMG_9294.HEIC,40.424825,-3.67600833333333
IMG_9295.HEIC,40.4248777777778,-3.67673888888889
IMG_9296.HEIC,40.4249583333333,-3.67814444444444
IMG_9297.HEIC,40.4250361111111,-3.67956944444444
IMG_9298.HEIC,40.4250861111111,-3.68031666666667
IMG_9299.HEIC,40.4251138888889,-3.68099166666667
IMG_9300.HEIC,40.4251638888889,-3.68232777777778
IMG_9301.HEIC,40.4252055555556,-3.68368611111111
IMG_9302.HEIC,40.4252166666667,-3.68388611111111
IMG_9303.HEIC,40.4252194444444,-3.68396944444444
IMG_9304.HEIC,40.4252611111111,-3.68475277777778
IMG_9305.HEIC,40.4253472222222,-3.68588055555556
IMG_9306.HEIC,40.4254194444444,-3.68707222222222
IMG_9307.HEIC,40.4253972222222,-3.68777777777778
IMG_9308.HEIC,40.4255222222222,-3.68913055555556
IMG_9309.HEIC,40.4255444444444,-3.68960277777778
IMG_9310.HEIC,40.4251777777778,-3.69073055555556
IMG_9311.HEIC,40.423675,-3.691025
IMG_9312.HEIC,40.4234722222222,-3.69111388888889
IMG_9313.HEIC,40.4233694444444,-3.69116111111111
IMG_9314.HEIC,40.4231694444444,-3.69125555555556
IMG_9315.HEIC,40.4228583333333,-3.69139722222222
IMG_9316.HEIC,40.4224555555556,-3.69158055555556
IMG_9317.HEIC,40.4201666666667,-3.69259444444444
IMG_9318.HEIC,40.4193222222222,-3.69339166666667
IMG_9319.HEIC,40.4191166666667,-3.69315833333333
IMG_9320.HEIC,40.4192722222222,-3.69275277777778
IMG_9321.HEIC,40.4197,-3.69271944444444
IMG_9322.heic,40.4218555555556,-3.69171111111111
IMG_9324.HEIC,40.4226916666667,-3.69134166666667
IMG_9325.HEIC,40.4231555555556,-3.691125
IMG_9326.HEIC,40.4241555555556,-3.69066388888889
IMG_9327.HEIC,40.4243777777778,-3.69056111111111
IMG_9328.HEIC,40.4252027777778,-3.69005277777778
IMG_9329.HEIC,40.4254222222222,-3.68998888888889
IMG_9330.HEIC,40.4254527777778,-3.68978611111111
IMG_9331.HEIC,40.4253805555556,-3.68798611111111
IMG_9332.HEIC,40.4253527777778,-3.68716388888889
IMG_9333.HEIC,40.4253305555556,-3.68673055555556
IMG_9334.HEIC,40.425275,-3.68592777777778
IMG_9335.HEIC,40.4252694444444,-3.68545
IMG_9336.HEIC,40.4252166666667,-3.68455555555556
IMG_9337.HEIC,40.4251861111111,-3.68429166666667
IMG_9338.HEIC,40.4251333333333,-3.68328333333333
IMG_9339.HEIC,40.4251138888889,-3.68294166666667
IMG_9340.HEIC,40.4250833333333,-3.68230833333333
IMG_9341.HEIC,40.4250555555556,-3.68171111111111
