epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,2441.31,0.49024,0.56044,0.34966,0.88044,0.98733,0.97424,0.98989,0.8849,0.98563,0.97259,0.98683,0.75175,0.56178,0.65077,0.3428,0.83389,0.000775822,0.000775822,0.000775822
56,2480.91,0.5039,0.56799,0.34407,0.88195,0.98277,0.98164,0.99026,0.90535,0.98277,0.98164,0.99002,0.77241,0.54511,0.65743,0.3362,0.82964,0.000759318,0.000759318,0.000759318
57,2521.3,0.50055,0.55523,0.33655,0.88744,0.98064,0.98554,0.98989,0.91157,0.97571,0.9806,0.98544,0.763,0.55914,0.70859,0.35035,0.83385,0.000742815,0.000742815,0.000742815
58,2556.55,0.49503,0.54147,0.34183,0.88191,0.98085,0.98026,0.98892,0.89723,0.97973,0.97862,0.98499,0.77825,0.58992,0.68984,0.36059,0.83534,0.000726312,0.000726312,0.000726312
59,2608.49,0.49054,0.52338,0.33819,0.88232,0.98074,0.98649,0.98918,0.89952,0.97946,0.98355,0.98373,0.76139,0.54805,0.65988,0.35114,0.82957,0.000709809,0.000709809,0.000709809
60,2661.4,0.50098,0.6007,0.34352,0.88957,0.98323,0.98004,0.99005,0.90559,0.98323,0.98004,0.98916,0.76369,0.54853,0.66014,0.37644,0.82479,0.000693305,0.000693305,0.000693305
61,2696.08,0.4811,0.53909,0.32927,0.88521,0.98322,0.98284,0.98991,0.90631,0.98156,0.98119,0.98697,0.75679,0.54717,0.69801,0.34428,0.82887,0.000676802,0.000676802,0.000676802
62,2729.51,0.49895,0.56305,0.35188,0.87699,0.98724,0.97917,0.99018,0.91046,0.98724,0.97917,0.98853,0.77688,0.53787,0.6724,0.33241,0.82786,0.000660299,0.000660299,0.000660299
63,2764.23,0.47945,0.52915,0.32113,0.88419,0.9801,0.98419,0.99036,0.9092,0.98281,0.98154,0.98928,0.77216,0.52902,0.64598,0.32725,0.82148,0.000643795,0.000643795,0.000643795
64,2804.55,0.48724,0.55972,0.33511,0.88759,0.98199,0.98207,0.98999,0.90665,0.98191,0.97862,0.98592,0.75104,0.53958,0.66783,0.3437,0.82747,0.000627292,0.000627292,0.000627292
