SourceFile,GPSLatitude,GPSLongitude
IMG_8808.heic,40.4384388888889,-3.66121388888889
IMG_8809.heic,40.43845,-3.66119166666667
IMG_8810.heic,40.4386638888889,-3.66113333333333
IMG_8812.heic,40.4386277777778,-3.66104722222222
IMG_8813.heic,40.4386416666667,-3.66107222222222
IMG_8814.heic,40.4383416666667,-3.66086944444444
IMG_8815.heic,40.4384527777778,-3.660875
IMG_8820.heic,40.4385416666667,-3.6608
IMG_8821.heic,40.4382138888889,-3.66108055555556
IMG_8828.heic,40.4352527777778,-3.66308888888889
IMG_8834.heic,40.4376833333333,-3.677125
IMG_8835.heic,40.4376305555556,-3.67730277777778
IMG_8836.heic,40.43755,-3.67776944444444
IMG_8837.heic,40.4374583333333,-3.67782777777778
IMG_8838.heic,40.4374277777778,-3.67764722222222
IMG_8839.heic,40.437325,-3.67743611111111
IMG_8840.heic,40.4372666666667,-3.67723055555556
IMG_8841.heic,40.4372361111111,-3.67691111111111
IMG_8842.heic,40.4355361111111,-3.67516666666667
IMG_8843.heic,40.4354555555556,-3.67514722222222
IMG_8844.heic,40.4353055555556,-3.67536944444444
IMG_8845.heic,40.4350305555556,-3.67516111111111
IMG_8846.heic,40.4347694444444,-3.67496944444444
IMG_8847.heic,40.4346194444444,-3.67476388888889
IMG_8848.heic,40.4346083333333,-3.6748
IMG_8849.heic,40.4345388888889,-3.67470555555556
IMG_8850.heic,40.4344777777778,-3.67469722222222
IMG_8851.heic,40.4343,-3.67478333333333
IMG_8852.heic,40.4344444444444,-3.67488888888889
IMG_8853.heic,40.4346694444444,-3.67526666666667
IMG_8854.heic,40.4345861111111,-3.67521111111111
IMG_8855.heic,40.4342277777778,-3.67428888888889
IMG_8856.heic,40.4342833333333,-3.67422777777778
IMG_8857.heic,40.4346472222222,-3.67424722222222
IMG_8858.heic,40.4336194444444,-3.67336944444444
IMG_8859.heic,40.4337277777778,-3.67334444444444
IMG_8860.heic,40.4334722222222,-3.67335
IMG_8861.heic,40.4336166666667,-3.67356666666667
IMG_8862.heic,40.4334805555556,-3.67361388888889
IMG_8863.heic,40.4328388888889,-3.67299444444444
IMG_8864.heic,40.432725,-3.67292777777778
IMG_8865.heic,40.4324305555556,-3.67277222222222
IMG_8866.heic,40.4323694444444,-3.67265277777778
IMG_8867.heic,40.4322194444444,-3.67258611111111
IMG_8868.heic,40.4320444444444,-3.67238333333333
IMG_8869.heic,40.4321416666667,-3.67198888888889
IMG_8870.heic,40.4321972222222,-3.67201666666667
IMG_8871.heic,40.4325833333333,-3.67237222222222
IMG_8872.heic,40.4317861111111,-3.67143888888889
IMG_8873.heic,40.4316166666667,-3.67153055555556
IMG_8874.heic,40.4318111111111,-3.67209166666667
IMG_8875.heic,40.4316777777778,-3.67206388888889
IMG_8876.heic,40.43155,-3.67201111111111
IMG_8877.heic,40.4299805555556,-3.67065833333333
IMG_8878.heic,40.4299,-3.67058055555556
IMG_8879.heic,40.4298888888889,-3.67058055555556
IMG_8880.heic,40.4297916666667,-3.67068333333333
IMG_8881.heic,40.4296194444444,-3.67079444444444
IMG_8882.heic,40.4295888888889,-3.67061111111111
IMG_8883.heic,40.4295722222222,-3.67043055555556
IMG_8884.heic,40.4295888888889,-3.67035277777778
IMG_8885.heic,40.4294277777778,-3.67017222222222
IMG_8886.heic,40.4294916666667,-3.669875
IMG_8887.heic,40.4298333333333,-3.67002777777778
IMG_8888.heic,40.42865,-3.66903333333333
IMG_8889.heic,40.4284555555556,-3.66917222222222
IMG_8890.heic,40.4284833333333,-3.66935
IMG_8891.heic,40.4281166666667,-3.66948333333333
IMG_8892.heic,40.4278333333333,-3.669525
IMG_8893.heic,40.4276777777778,-3.66943055555556
IMG_8894.heic,40.4276666666667,-3.66926666666667
IMG_8895.heic,40.4275805555556,-3.66871666666667
IMG_8896.heic,40.4276472222222,-3.66873611111111
IMG_8897.heic,40.4270138888889,-3.66870277777778
IMG_8898.heic,40.4248,-3.66888888888889
IMG_8899.heic,40.4246722222222,-3.6689
IMG_8900.heic,40.4245527777778,-3.668975
IMG_8901.heic,40.4243916666667,-3.66907222222222
IMG_8902.heic,40.4234111111111,-3.66901944444444
IMG_8903.heic,40.4232055555556,-3.669
IMG_8904.heic,40.4231194444444,-3.66914722222222
IMG_8905.heic,40.421525,-3.66918888888889
IMG_8906.heic,40.4214027777778,-3.66914166666667
IMG_8907.heic,40.421325,-3.66925555555556
IMG_8908.heic,40.4211694444444,-3.66935277777778
IMG_8909.heic,40.4211,-3.66920555555556
IMG_8910.heic,40.4208916666667,-3.66894166666667
IMG_8911.heic,40.4208722222222,-3.66873055555556
IMG_8912.heic,40.4209472222222,-3.66862777777778
IMG_8913.heic,40.4211166666667,-3.66858333333333
